dtm,o3_1
2023-07-11T00:05:00.000000,3.85
2023-07-11T00:10:00.000000,1.99
2023-07-11T00:15:00.000000,0.98
2023-07-11T00:20:00.000000,0.17
2023-07-11T00:25:00.000000,3.65
2023-07-11T00:30:00.000000,-0.26
2023-07-11T00:35:00.000000,0.89
2023-07-11T00:40:00.000000,2.03
2023-07-11T00:45:00.000000,-0.01
2023-07-11T00:50:00.000000,0.21
2023-07-11T00:55:00.000000,0.65
2023-07-11T01:00:00.000000,1.08
2023-07-11T01:05:00.000000,0.21
2023-07-11T01:10:00.000000,0.39
2023-07-11T01:15:00.000000,1.02
2023-07-11T01:20:00.000000,1.89
2023-07-11T01:25:00.000000,0.48
2023-07-11T01:30:00.000000,-0.26
2023-07-11T01:35:00.000000,-0.35
2023-07-11T01:40:00.000000,0.81
2023-07-11T01:45:00.000000,1.24
2023-07-11T01:50:00.000000,2.07
2023-07-11T01:55:00.000000,-0.01
2023-07-11T02:00:00.000000,0.21
2023-07-11T02:05:00.000000,0.13
2023-07-11T02:10:00.000000,0.43
2023-07-11T02:15:00.000000,0.38
2023-07-11T02:20:00.000000,2.47
2023-07-11T02:25:00.000000,1.37
2023-07-11T02:30:00.000000,0.39
2023-07-11T02:35:00.000000,0.17
2023-07-11T02:40:00.000000,0.3
2023-07-11T02:45:00.000000,1.76
2023-07-11T02:50:00.000000,1.81
2023-07-11T02:55:00.000000,2.3
2023-07-11T03:00:00.000000,3.36
2023-07-11T03:05:00.000000,0.47
2023-07-11T03:10:00.000000,0.29
2023-07-11T03:15:00.000000,0.94
2023-07-11T03:20:00.000000,0.47
2023-07-11T03:25:00.000000,1.2
2023-07-11T03:30:00.000000,1.12
2023-07-11T03:35:00.000000,0.94
2023-07-11T03:40:00.000000,0.81
2023-07-11T03:45:00.000000,2.8
2023-07-11T03:50:00.000000,1.81
2023-07-11T03:55:00.000000,2.06
2023-07-11T04:00:00.000000,1.07
2023-07-11T04:05:00.000000,0.69
2023-07-11T04:10:00.000000,2.19
2023-07-11T04:15:00.000000,2.76
2023-07-11T04:20:00.000000,1.84
2023-07-11T04:25:00.000000,2.8
2023-07-11T04:30:00.000000,1.8
2023-07-11T04:35:00.000000,2.15
2023-07-11T04:40:00.000000,2.83
2023-07-11T04:45:00.000000,6.5
2023-07-11T04:50:00.000000,3.48
2023-07-11T04:55:00.000000,7.54
2023-07-11T05:00:00.000000,5.15
2023-07-11T05:05:00.000000,10.58
2023-07-11T05:10:00.000000,8.16
2023-07-11T05:15:00.000000,14.97
2023-07-11T05:20:00.000000,10.31
2023-07-11T05:25:00.000000,11.49
2023-07-11T05:30:00.000000,17.6
2023-07-11T05:35:00.000000,17.64
2023-07-11T05:40:00.000000,19.88
2023-07-11T05:45:00.000000,16.28
2023-07-11T05:50:00.000000,20.91
2023-07-11T05:55:00.000000,37.54
2023-07-11T06:00:00.000000,27.69
2023-07-11T06:05:00.000000,23.43
2023-07-11T06:10:00.000000,25.39
2023-07-11T06:15:00.000000,22.8
2023-07-11T06:20:00.000000,19.13
2023-07-11T06:25:00.000000,22.28
2023-07-11T06:30:00.000000,24.32
2023-07-11T06:35:00.000000,25.2
2023-07-11T06:40:00.000000,27.17
2023-07-11T06:45:00.000000,25.32
2023-07-11T06:50:00.000000,24.14
2023-07-11T06:55:00.000000,26.45
2023-07-11T07:00:00.000000,25.84
2023-07-11T07:05:00.000000,24.99
2023-07-11T07:10:00.000000,28.83
2023-07-11T07:15:00.000000,27.89
2023-07-11T07:20:00.000000,28.69
2023-07-11T07:25:00.000000,28.91
2023-07-11T07:30:00.000000,29.13
2023-07-11T07:35:00.000000,29.61
2023-07-11T07:40:00.000000,31.24
2023-07-11T07:45:00.000000,32.69
2023-07-11T07:50:00.000000,38.66
2023-07-11T07:55:00.000000,35.51
2023-07-11T08:00:00.000000,36.04
2023-07-11T08:05:00.000000,35.85
2023-07-11T08:10:00.000000,38.72
2023-07-11T08:15:00.000000,35.81
2023-07-11T08:20:00.000000,33.38
2023-07-11T08:25:00.000000,33.25
2023-07-11T08:30:00.000000,36.43
2023-07-11T08:35:00.000000,35.38
2023-07-11T08:40:00.000000,35.73
2023-07-11T08:45:00.000000,41.36
2023-07-11T08:50:00.000000,41.0
2023-07-11T08:55:00.000000,45.77
2023-07-11T09:00:00.000000,35.11
2023-07-11T09:05:00.000000,35.01
2023-07-11T09:10:00.000000,37.34
2023-07-11T09:15:00.000000,34.67
2023-07-11T09:20:00.000000,63.13
2023-07-11T09:25:00.000000,37.27
2023-07-11T09:30:00.000000,39.73
2023-07-11T09:35:00.000000,37.21
2023-07-11T09:40:00.000000,36.46
2023-07-11T09:45:00.000000,39.89
2023-07-11T09:50:00.000000,34.58
2023-07-11T09:55:00.000000,34.76
2023-07-11T10:00:00.000000,31.57
2023-07-11T10:05:00.000000,35.61
2023-07-11T10:10:00.000000,32.73
2023-07-11T10:15:00.000000,34.23
2023-07-11T10:20:00.000000,53.57
2023-07-11T10:25:00.000000,38.63
2023-07-11T10:30:00.000000,56.12
2023-07-11T10:35:00.000000,33.81
2023-07-11T10:40:00.000000,45.92
2023-07-11T10:45:00.000000,34.03
2023-07-11T10:50:00.000000,42.12
2023-07-11T10:55:00.000000,37.07
2023-07-11T11:00:00.000000,44.21
2023-07-11T11:05:00.000000,49.15
2023-07-11T11:10:00.000000,41.0
2023-07-11T11:15:00.000000,52.02
2023-07-11T11:20:00.000000,43.66
2023-07-11T11:25:00.000000,39.44
2023-07-11T11:30:00.000000,46.39
2023-07-11T11:35:00.000000,51.4
2023-07-11T11:40:00.000000,38.46
2023-07-11T11:45:00.000000,42.23
2023-07-11T11:50:00.000000,41.66
2023-07-11T11:55:00.000000,35.84
2023-07-11T12:00:00.000000,36.93
2023-07-11T12:05:00.000000,40.46
2023-07-11T12:10:00.000000,38.06
2023-07-11T12:15:00.000000,37.89
2023-07-11T12:20:00.000000,38.1
2023-07-11T12:25:00.000000,37.46
